╔══════════════════════════════════════════════════════════╗
║               HADES V19 — DB EXPORT                    ║

  1972  compound_mod6_digit          🔵 Player     85%   85%     0  ❌
       CONDITIONS: {'digit': 3, 'digit_sum_mod': {'mod': 6, 'remainder': 3}}
       DESC      : mod 6 = 3 مع الرقم الأخير 3 يعزز الثور

  1622  digit_7_bias                 🔵 Player     85%   85%     0  ❌
       CONDITIONS: {'digit': 7}
       DESC      : عندما ينتهي رقم الجولة (b_num) بالرقم 7، يميل الثور للفوز (112 مقابل 94)

  1993  compound_mod7_digit          🔵 Player     85%   85%     0  ❌
       CONDITIONS: {'digit': 2, 'digit_sum_mod': {'mod': 7, 'remainder': 2}}
       DESC      : mod 7 = 2 مع الرقم الأخير 2 يعزز الثور

  2001  compound_time_digit_5        🔵 Player     85%   85%     0  ❌
       CONDITIONS: {'digit': 5, 'gap_sec_lt': 15}
       DESC      : فجوة زمنية قصيرة جداً مع رقم 5 تميل للثور

  2042  compound_time_digit_4        🔴 Banker     85%   85%     0  ❌
       CONDITIONS: {'digit': 4, 'gap_sec_lt': 15}
       DESC      : فجوة زمنية قصيرة جداً مع رقم 4 تميل للراعي

  1699  compound_stale_digit9        🔴 Banker     85%   85%     0  ❌
       CONDITIONS: {'digit': 9, 'gap_sec_gt': 15}
       DESC      : الفجوة الزمنية الطويلة مع آخر رقم 9 تعزز فوز الراعي.

  2021  compound_time_rank_3         🔵 Player     85%   85%     0  ❌
       CONDITIONS: {'rank': 'A', 'gap_sec_lt': 18}
       DESC      : تسارع زمني مع رتبة Ace يعجل بظهور الثور

  1623  digit_4_bias                 🔴 Banker     85%   85%     0  ❌
       CONDITIONS: {'digit': 4}
       DESC      : عندما ينتهي رقم الجولة بالرقم 4، يميل الراعي للفوز (97 مقابل 76)

  1451  compound_gap_sec_suit        🔵 Player     85%   85%     0  ❌
       CONDITIONS: {'suit': '♥️', 'gap_sec_lt': 15}
       DESC      : الفجوة الزمنية القصيرة (<15 ث) مع البذلة ♥️ تميل للثور بسبب تأثير الوقت والبذلة

  1991  rank_8_sum7                  🔴 Banker     85%   85%     0  ❌
       CONDITIONS: {'rank': '8', 'rank_digit_sum_bias': '8_sum7'}
       DESC      : الرتبة 8 مع مجموع 7 تظهر انحيازاً للراعي

  1960  compound_time_digit          🔵 Player     85%   85%     0  ❌
       CONDITIONS: {'digit': 3, 'gap_sec_lt': 15}
       DESC      : فجوة زمنية قصيرة جداً مع رقم 3 تميل للثور

  1769  mod_7_extreme_bias           🔵 Player     93%   85%     0  ❌
       CONDITIONS: {'digit_sum_mod': {'mod': 7, 'remainder': 1}}
       DESC      : عندما يكون مجموع أرقام b_num مقسوماً على 7 والباقي 1، يميل الثور بقوة (Bias +13.2%)

  1856  rank_digit_chaos             🔴 Banker     94%   85%     0  ❌
       CONDITIONS: {'rank': 'K', 'digit': 4}
       DESC      : التركيبة (King + digit 4) تظهر انحيازاً عكسياً قوياً (-60%) للراعي

  1646  rank_2_sum4_extreme          🔴 Banker     94%   85%     0  ❌
       CONDITIONS: {'rank': '2', 'digit_sum_mod': {'mod': 10, 'remainder': 4}}
       DESC      : الرتبة 2 مع مجموع أرقام mod 10 = 4 تعطي انحياز -77% للراعي

  1681  mod_7_extreme_bias           🔵 Player     93%   84%     0  ❌
       CONDITIONS: {'digit_sum_mod': {'mod': 7, 'remainder': 1}}
       DESC      : مجموع أرقام b_num mod 7 يساوي 1 يعطي انحيازاً هائلاً للثور (14.6%) بناءً على 281 عينة.

  1742  mod_5_zero_trap              🔵 Player     89%   84%     0  ❌
       CONDITIONS: {'digit_sum_mod': {'mod': 5, 'remainder': 0}}
       DESC      : مجموع الأرقام ينتهي بـ 0 أو 5 (mod 5 = 0) يعطي دفعة قوية للثور بنسبة انحراف 5.8%.

  1628  compound_digit_cycle3        🔵 Player     91%   84%     0  ❌
       CONDITIONS: {'digit': 7, 'cycle_position': {'cycle': 3, 'position': 2}}
       DESC      : الجمع بين آخر رقم 7 والموضع 2 في دورة 3 يعطي إشارة قوية للثور

  1606  time_gap_with_suit           🔵 Player     99%   84%    12  ❌
       CONDITIONS: {'suit': '♣️', 'gap_sec_lt': 20}
       DESC      : فجوة زمنية <20 ثانية والبذلة ♣️ تميل للثور

  2040  rank_k_sum4                  🔴 Banker     84%   84%     0  ❌
       CONDITIONS: {'rank': 'K', 'rank_digit_sum_bias': 'K_sum4'}
       DESC      : الرتبة K مع مجموع 4 تظهر انحيازاً للراعي

  1717  fresh_time_momentum          🔵 Player     84%   84%     0  ❌
       CONDITIONS: {'gap_sec_lt': 15}
       DESC      : الفجوات الزمنية القصيرة جداً (<15ث) تشير إلى سرعة لعب تفضل الثور (383 vs 344).

  1733  time_suit_heart_fast         🔵 Player     84%   84%     0  ❌
       CONDITIONS: {'suit': '♥️', 'gap_sec_lt': 15}
       DESC      : قلب الأحمر في وقت سريع (<15ث) يتحول للون الأزرق (ثور).

  1762  time_gap_stale_lock          🔴 Banker     84%   84%     0  ❌
       CONDITIONS: {'gap_sec_gt': 45}
       DESC      : الفجوات الزمنية الطويلة جداً (>45 ث) تميل لتثبيت النتيجة على الراعي.

  1962  gap_sec_rank_q               🔴 Banker     84%   84%     0  ❌
       CONDITIONS: {'rank': 'Q', 'gap_sec_gt': 28}
       DESC      : فجوة زمنية طويلة مع Queen تسحب للراعي

  2038  compound_suit_gap_3          🔵 Player     84%   84%     0  ❌
       CONDITIONS: {'suit': '♣️', 'b_gap_gt': 600}
       DESC      : Clubs مع فجوة رقمية كبيرة تعزز الثور

  2035  gap_sec_rank_6               🔴 Banker     84%   84%     0  ❌
       CONDITIONS: {'rank': '6', 'gap_sec_lt': 20}
       DESC      : فجوة زمنية قصيرة مع 6 تميل للراعي

  2034  compound_mod9_digit          🔵 Player     84%   84%     0  ❌
       CONDITIONS: {'digit': 4, 'digit_sum_mod': {'mod': 9, 'remainder': 4}}
       DESC      : mod 9 = 4 مع الرقم الأخير 4 يعزز الثور

  2033  cycle_4_pos_3                🔵 Player     84%   84%     0  ❌
       CONDITIONS: {'cycle_position': {'cycle': 4, 'position': 3}}
       DESC      : في الدورة الرباعية، الموقع 3 يهيمن عليه الثور (112 vs 107)

  2030  compound_gap_digit_1         🔵 Player     84%   84%     0  ❌
       CONDITIONS: {'digit': 1, 'b_gap_lt': 400}
       DESC      : فجوة رقمية صغيرة مع الرقم 1 يعزز الثور

  1777  medium_gap_stability         🔴 Banker     84%   84%     0  ❌
       CONDITIONS: {'b_gap_gt': 200, 'b_gap_lt': 1000}
       DESC      : الفجوة المتوسطة (200-1000) تعيد الاستقرار للراعي (Banker)

  2027  compound_rank_mod_4          🔵 Player     84%   84%     0  ❌
       CONDITIONS: {'rank': '7', 'rank_value_mod': {'mod': 4, 'remainder': 3}}
       DESC      : الرتبة 7 مع mod 4 = 3 تعزز الثور

  2024  gap_sec_rank_9               🔵 Player     84%   84%     0  ❌
       CONDITIONS: {'rank': '9', 'gap_sec_gt': 25}
       DESC      : فجوة زمنية طويلة مع 9 تميل للثور

  2023  mod_7_rem_5                  🔴 Banker     84%   84%     0  ❌
       CONDITIONS: {'digit_sum_mod': {'mod': 7, 'remainder': 5}}
       DESC      : مجموع الأرقام mod 7 = 5 يظهر انحيازاً للراعي

  2022  digit_rank_mod_7             🔵 Player     84%   84%     0  ❌
       CONDITIONS: {'digit_plus_rank_mod': {'mod': 7, 'remainder': 5}}
       DESC      : مجموع digit و rank mod 7 = 5 يعطي إشارة للثور

  2019  rank_7_sum7                  🔵 Player     84%   84%     0  ❌
       CONDITIONS: {'rank': '7', 'rank_digit_sum_bias': '7_sum7'}
       DESC      : الرتبة 7 مع مجموع 7 تظهر انحيازاً للثور

  2017  compound_suit_time_2         🔵 Player     84%   84%     0  ❌
       CONDITIONS: {'suit': '♠️', 'gap_sec_lt': 15}
       DESC      : Spades مع فجوة زمنية قصيرة تعزز الثور

  2014  gap_sec_rank_4               🔴 Banker     84%   84%     0  ❌
       CONDITIONS: {'rank': '4', 'gap_sec_lt': 20}
       DESC      : فجوة زمنية قصيرة مع 4 تميل للراعي

  2013  compound_mod8_digit          🔵 Player     84%   84%     0  ❌
       CONDITIONS: {'digit': 1, 'digit_sum_mod': {'mod': 8, 'remainder': 1}}
       DESC      : mod 8 = 1 مع الرقم الأخير 1 يعزز الثور

  1706  time_gap_slow_drift          🔴 Banker     84%   84%     0  ❌
       CONDITIONS: {'b_gap_gt': 400, 'gap_sec_gt': 25}
       DESC      : بطء في الوقت والفجوة الرقمية معاً يعزز الراعي.

  2011  rank_2_sum2                  🔴 Banker     84%   84%     0  ❌
       CONDITIONS: {'rank': '2', 'rank_digit_sum_bias': '2_sum2'}
       DESC      : الرتبة 2 مع مجموع 2 تظهر انحيازاً للراعي

  2010  time_digit_2_surge           🔴 Banker     84%   84%     0  ❌
       CONDITIONS: {'digit': 2, 'gap_sec_lt': 18}
       DESC      : فجوة زمنية قصيرة مع رقم 2 تميل للراعي

  2009  compound_gap_digit_9         🔴 Banker     84%   84%     0  ❌
       CONDITIONS: {'digit': 9, 'b_gap_lt': 400}
       DESC      : فجوة رقمية صغيرة مع الرقم 9 يسحب للراعي

  2007  digit_rank_mod_6             🔵 Player     84%   84%     0  ❌
       CONDITIONS: {'digit_plus_rank_mod': {'mod': 6, 'remainder': 4}}
       DESC      : مجموع digit و rank mod 6 = 4 يعطي إشارة للثور

  2006  compound_rank_mod_3          🔴 Banker     84%   84%     0  ❌
       CONDITIONS: {'rank': '6', 'rank_value_mod': {'mod': 3, 'remainder': 0}}
       DESC      : الرتبة 6 مع mod 3 = 0 تعزز الراعي

  2003  gap_sec_rank_8               🔴 Banker     84%   84%     0  ❌
       CONDITIONS: {'rank': '8', 'gap_sec_gt': 28}
       DESC      : فجوة زمنية طويلة مع 8 تسحب للراعي

  2002  mod_7_rem_6                  🔴 Banker     84%   84%     0  ❌
       CONDITIONS: {'digit_sum_mod': {'mod': 7, 'remainder': 6}}
       DESC      : مجموع الأرقام mod 7 = 6 يظهر انحيازاً للراعي

  2000  cycle_7_pos_6                🔵 Player     84%   84%     0  ❌
       CONDITIONS: {'cycle_position': {'cycle': 7, 'position': 6}}
       DESC      : في الدورة السباعية، الموقع 6 يهيمن عليه الثور (67 vs 58)

  1997  compound_suit_gap_2          🔵 Player     84%   84%     0  ❌
       CONDITIONS: {'suit': '♦️', 'b_gap_gt': 500}
       DESC      : Diamonds مع فجوة رقمية كبيرة تعزز الثور

  1994  gap_sec_rank_3               🔵 Player     84%   84%     0  ❌
       CONDITIONS: {'rank': '3', 'gap_sec_lt': 20}
       DESC      : فجوة زمنية قصيرة مع 3 تميل للثور

  1989  compound_gap_digit_7         🔵 Player     84%   84%     0  ❌
       CONDITIONS: {'digit': 7, 'b_gap_lt': 400}
       DESC      : فجوة رقمية صغيرة مع الرقم 7 يعزز الثور

  1987  digit_rank_mod_5             🔵 Player     84%   84%     0  ❌
       CONDITIONS: {'digit_plus_rank_mod': {'mod': 5, 'remainder': 3}}
       DESC      : مجموع digit و rank mod 5 = 3 يعطي إشارة للثور

  1986  compound_rank_mod_2          🔴 Banker     84%   84%     0  ❌
       CONDITIONS: {'rank': '4', 'rank_value_mod': {'mod': 2, 'remainder': 0}}
       DESC      : الرتبة 4 مع mod 2 = 0 تعزز الراعي

  1983  gap_sec_rank_5               🔵 Player     84%   84%     0  ❌
       CONDITIONS: {'rank': '5', 'gap_sec_gt': 25}
       DESC      : فجوة زمنية طويلة مع 5 تميل للثور

  1982  mod_7_rem_3                  🔴 Banker     84%   84%     0  ❌
       CONDITIONS: {'digit_sum_mod': {'mod': 7, 'remainder': 3}}
       DESC      : مجموع الأرقام mod 7 = 3 يظهر انحيازاً للراعي

  1671  time_gap_digit_9_extreme     🔴 Banker     84%   84%     0  ❌
       CONDITIONS: {'digit': 9, 'gap_sec_lt': 10}
       DESC      : سرعة فائقة (<10ث) مع آخر رقم 9 تعكس التوقع لصالح الراعي.

  1979  cycle_6_pos_3                🔴 Banker     84%   84%     0  ❌
       CONDITIONS: {'cycle_position': {'cycle': 6, 'position': 3}}
       DESC      : في الدورة السداسية، الموقع 3 يهيمن عليه الراعي (79 vs 67)

  1971  cycle_5_pos_4                🔵 Player     84%   84%     0  ❌
       CONDITIONS: {'cycle_position': {'cycle': 5, 'position': 4}}
       DESC      : في الدورة الخماسية، الموقع 4 يهيمن عليه الثور (93 vs 82)

  1968  compound_gap_digit_2         🔴 Banker     84%   84%     0  ❌
       CONDITIONS: {'digit': 2, 'b_gap_lt': 400}
       DESC      : فجوة رقمية صغيرة مع الرقم 2 يسحب للراعي

  1966  digit_rank_mod_3             🔵 Player     84%   84%     0  ❌
       CONDITIONS: {'digit_plus_rank_mod': {'mod': 3, 'remainder': 2}}
       DESC      : مجموع digit و rank mod 3 = 2 يعطي إشارة للثور

  1869  large_gap_reversal           🔵 Player     84%   84%     0  ❌
       CONDITIONS: {'b_gap_gt': 1000}
       DESC      : بعد فجوة رقمية كبيرة (>1000)، يميل الثور للفوز (842 vs 795)

  1850  time_gap_stale_reversal      🔴 Banker     84%   84%     0  ❌
       CONDITIONS: {'gap_sec_gt': 40}
       DESC      : توقف طويل (>40ث) غالباً ما يكسر سلسلة الثور ويعيد الراعي

  1888  time_mod0_decel              🔴 Banker     84%   84%     0  ❌
       CONDITIONS: {'gap_sec_gt': 35, 'digit_sum_mod': {'mod': 5, 'remainder': 0}}
       DESC      : تباطؤ زمني شديد مع mod 5=0 يعيد الراعي

  1957  digit_sum_mod_5_0            🔵 Player     84%   84%     0  ❌
       CONDITIONS: {'digit_sum_mod': {'mod': 5, 'remainder': 0}}
       DESC      : مجموع الأرقام mod 5 = 0 يظهر انحيازاً للثور

  1956  compound_suit_gap            🔵 Player     84%   84%     0  ❌
       CONDITIONS: {'suit': '♣️', 'b_gap_gt': 600}
       DESC      : Clubs مع فجوة رقمية كبيرة تعزز الثور

  1896  cycle_phase_shift            🔵 Player     84%   84%     0  ❌
       CONDITIONS: {'cycle_position': {'cycle': 5, 'position': 4}}
       DESC      : قانون جديد: المرحلة 4 في دورة 5 هي نقطة التحول للثور

  1952  compound_mod2_digit          🔵 Player     84%   84%     0  ❌
       CONDITIONS: {'digit': 1, 'digit_sum_mod': {'mod': 2, 'remainder': 1}}
       DESC      : mod 2 = 1 مع الرقم الأخير 1 يعزز الثور

  1837  large_gap_trend              🔵 Player     84%   84%     0  ❌
       CONDITIONS: {'b_gap_gt': 1000}
       DESC      : بعد فجوة رقمية كبيرة (>1000)، يميل الثور للفوز (835 vs 791)

  1948  compound_gap_mod             🔵 Player     84%   84%     0  ❌
       CONDITIONS: {'b_gap_gt': 800, 'digit_sum_mod': {'mod': 4, 'remainder': 2}}
       DESC      : فجوة رقمية كبيرة مع mod 4 = 2 تعزز الثور

  1943  cycle_4_pos_2                🔵 Player     84%   84%     0  ❌
       CONDITIONS: {'cycle_position': {'cycle': 4, 'position': 2}}
       DESC      : في الدورة الرباعية، الموقع 2 يهيمن عليه الثور (114 vs 105)

  1703  time_gap_even_odd_switch     🔵 Player     84%   84%     0  ❌
       CONDITIONS: {'gap_sec_lt': 30, 'digit_sum_mod': {'mod': 2, 'remainder': 1}}
       DESC      : الفجوة القصيرة مع مجموع أرقام فردي يعزز الثور.

  1938  time_digit_9_surge           🔴 Banker     84%   84%     0  ❌
       CONDITIONS: {'digit': 9, 'gap_sec_lt': 22}
       DESC      : فجوة زمنية قصيرة مع رقم 9 تميل للراعي

  1932  bnum_tail_4                  🔴 Banker     84%   84%     0  ❌
       CONDITIONS: {'digit': 4, 'b_gap_lt': 400}
       DESC      : الرقم 4 في الذيل مع فجوة صغيرة يسحب للراعي

  1928  cycle_5_pos_2                🔵 Player     84%   84%     0  ❌
       CONDITIONS: {'cycle_position': {'cycle': 5, 'position': 2}}
       DESC      : في الدورة الخماسية، الموقع 2 يهيمن عليه الثور (95 vs 81)

  1922  connected_streak_blue        🔵 Player     84%   84%     0  ❌
       CONDITIONS: {'streak': {'value': 1, 'length': 2}}
       DESC      : بعد فوزين متتاليين للثور، احتمال استمراره مرتفع

  1920  mod_5_zero_bias              🔵 Player     84%   84%     0  ❌
       CONDITIONS: {'digit_sum_mod': {'mod': 5, 'remainder': 0}}
       DESC      : مجموع الأرقام mod 5 = 0 يظهر انحيازاً للثور (240 vs 212)

  1879  compound_gap_stale_4         🔴 Banker     84%   84%     0  ❌
       CONDITIONS: {'digit': 4, 'gap_sec_gt': 25}
       DESC      : فجوة زمنية stale مع الرقم 4 تعيد الراعي بقوة

  1675  new_suit_time_resonance      🔴 Banker     84%   84%     0  ❌
       CONDITIONS: {'suit': '♥️', 'gap_sec_gt': 30}
       DESC      : قانون جديد: ظهور قلب (Hearts) بعد توقف >30ثانية يرتبط غالباً بالراعي.

  1810  compound_time_suit           🔴 Banker     84%   84%     0  ❌
       CONDITIONS: {'suit': '♥️', 'gap_sec_lt': 10}
       DESC      : سرعة فائقة (<10ث) مع بذلة hearts تميل للراعي.

  1941  gap_sec_rank_a               🔵 Player     84%   84%     0  ❌
       CONDITIONS: {'rank': 'A', 'gap_sec_gt': 25}
       DESC      : فجوة زمنية طويلة مع Ace تميل للثور

  1820  mod5_zero_even_digit         🔵 Player     84%   84%     0  ❌
       CONDITIONS: {'digit': 4, 'digit_sum_mod': {'mod': 5, 'remainder': 0}}
       DESC      : باقي 0 في مود 5 مع رقم زوجي (4) يعزز الثور.

  1680  new_fresh_rank_7             🔵 Player     84%   84%     0  ❌
       CONDITIONS: {'rank': '7', 'gap_sec_lt': 12}
       DESC      : قانون جديد: الرتبة 7 في اللعب السريع جداً (<12ث) تشير للثور.

  1833  big_gap_spade_9              🔴 Banker     84%   84%     0  ❌
       CONDITIONS: {'suit': '♠️', 'digit': 9, 'b_gap_gt': 3000}
       DESC      : فجوة رقمية كبيرة مع spades والرقم 9 تفضل الراعي.

  1973  gap_sec_rank_7               🔴 Banker     84%   84%     0  ❌
       CONDITIONS: {'rank': '7', 'gap_sec_lt': 20}
       DESC      : فجوة زمنية قصيرة مع 7 تميل للراعي

  1745  last_digit_7_bias            🔵 Player     84%   84%     0  ❌
       CONDITIONS: {'digit': 7}
       DESC      : الرقم الأخير 7 في b_num يرتبط بزيادة احتمالية فوز الثور (117 مقابل 96).

  1535  new_cycle_digit_rank         🔴 Banker     84%   84%     0  ❌
       CONDITIONS: {'rank': 'Q', 'digit': 3, 'cycle_position': {'cycle': 7, 'position': 5}}
       DESC      : في الموضع الخامس من دورة طولها 7 وآخر رقم 3 والرتبة Q تميل للراعي

  1455  digit_plus_rank_mod          🔴 Banker     84%   84%     0  ❌
       CONDITIONS: {'digit_plus_rank_mod': {'mod': 5, 'remainder': 0}}
       DESC      : عندما يكون (آخر رقم + قيمة الرتبة) mod 5 = 0، يميل الراعي للفوز

  1792  time_gap_sprint              🔵 Player     84%   84%     0  ❌
       CONDITIONS: {'gap_sec_lt': 10}
       DESC      : سرعة اللعب العالية (<10 ثواني) ترتبط بفوز الثور

  1688  stale_time_reversion         🔴 Banker     84%   84%     0  ❌
       CONDITIONS: {'gap_sec_gt': 15}
       DESC      : الفجوات الزمنية الطويلة (>15ث) تعيد التوازن أو تميل للراعي (649 ضد 630).

  2044  gap_sec_rank_10              🔵 Player     84%   84%     0  ❌
       CONDITIONS: {'rank': '10', 'gap_sec_gt': 25}
       DESC      : فجوة زمنية طويلة مع 10 تميل للثور

  1818  fresh_gap_heart              🔴 Banker     85%   84%     0  ❌
       CONDITIONS: {'suit': '♥️', 'gap_sec_lt': 12}
       DESC      : فجوة زمنية قصيرة جداً مع hearts تعزز الراعي.

  1927  mod_7_extreme                🔵 Player     89%   84%     0  ❌
       CONDITIONS: {'digit_sum_mod': {'mod': 7, 'remainder': 1}}
       DESC      : مجموع الأرقام mod 7 = 1 يظهر أقوى انحياز للثور (166 vs 128)

  1961  mod_7_rem_1                  🔵 Player     89%   84%     0  ❌
       CONDITIONS: {'digit_sum_mod': {'mod': 7, 'remainder': 1}}
       DESC      : مجموع الأرقام mod 7 = 1 يظهر انحيازاً قوياً للثور

  1365  compound_gap_sec_rank        🔵 Player     99%   84%    56  ❌
       CONDITIONS: {'rank': 'J', 'gap_sec_gt': 20}
       DESC      : الفجوة الزمنية الطويلة (>20 ث) والرتبة J تميل للثور

  1187  cycle_position_rank          🔴 Banker     99%   84%    21  ❌
       CONDITIONS: {'rank': 'Q', 'cycle_position': {'cycle': 4, 'position': 1}}
       DESC      : في الموضع الأول من دورة طولها 4 والرتبة هي Q، تميل النتيجة للراعي بسبب التوزيع الدوري للرت

  1723  compound_time_digit0         🔵 Player     93%   84%     1  ❌
       CONDITIONS: {'digit': 0, 'gap_sec_lt': 15}
       DESC      : سرعة اللعب (<15ث) مع الرقم 0 تعطي أقوى إشارة للثور (دقة 89%+).

  1665  compound_cycle3_digit7       🔵 Player     93%   84%     0  ❌
       CONDITIONS: {'digit': 7, 'cycle_position': {'cycle': 3, 'position': 2}}
       DESC      : تزامن الموضع 2 في دورة 3 مع آخر رقم 7 يخلق إشارة مركزة للثور.

  1647  rank_8_sum3_extreme          🔴 Banker     93%   84%     0  ❌
       CONDITIONS: {'rank': '8', 'digit_sum_mod': {'mod': 10, 'remainder': 3}}
       DESC      : الرتبة 8 مع مجموع أرقام mod 10 = 3 تعطي انحياز -71% للراعي

  1780  compound_cycle7_digit4       🔴 Banker     93%   84%     0  ❌
       CONDITIONS: {'digit': 4, 'cycle_position': {'cycle': 7, 'position': 2}}
       DESC      : تزامن قوة دورة 7 (موضع 2) مع الرقم 4 يضاعف احتمالية الراعي

  1721  compound_gap_mod7            🔵 Player     92%   84%     0  ❌
       CONDITIONS: {'b_gap_lt': 500, 'digit_sum_mod': {'mod': 7, 'remainder': 1}}
       DESC      : دمج الفجوة الصغيرة (<500) مع باقي 1 في mod 7 يخلق حالة مثالية للثور.

  1433  new_rank_digit_cycle         🔴 Banker     92%   84%     0  ❌
       CONDITIONS: {'rank': 'Q', 'digit': 2, 'cycle_position': {'cycle': 3, 'position': 0}}
       DESC      : عندما تكون الرتبة Q وآخر رقم 2 والموضع الأول من دورة طولها 3، يميل الراعي للفوز

  1700  compound_cycle7_pos2_digit4  🔴 Banker     92%   84%     0  ❌
       CONDITIONS: {'digit': 4, 'cycle_position': {'cycle': 7, 'position': 2}}
       DESC      : تزامن قوة دورة 7 (موضع 3) مع الرقم 4 يضاعف احتمالية الراعي.

  1752  compound_cycle7_digit4       🔴 Banker     92%   84%     0  ❌
       CONDITIONS: {'digit': 4, 'cycle_position': {'cycle': 7, 'position': 2}}
       DESC      : تزامن قوة دورة 7 (موضع 2) مع الرقم 4 يضاعف احتمالية الراعي.

  1980  compound_time_rank_2         🔵 Player     85%   83%     4  ❌
       CONDITIONS: {'rank': '2', 'gap_sec_lt': 18}
       DESC      : تسارع زمني مع رتبة 2 يعجل بظهور الثور

  1751  compound_gap_digit4          🔴 Banker     91%   83%     0  ❌
       CONDITIONS: {'digit': 4, 'b_gap_lt': 500}
       DESC      : دمج الفجوة الصغيرة (<500) مع الرقم الأخير 4 يشكل مصيدة قوية للراعي.

  1691  compound_gap_digit4          🔴 Banker     91%   83%     0  ❌
       CONDITIONS: {'digit': 4, 'b_gap_lt': 500}
       DESC      : دمج الفجوة الصغيرة (<500) مع آخر رقم 4 يعزز فوز الراعي بقوة.

  1770  mod_5_zero_trap              🔵 Player     91%   83%     1  ❌
       CONDITIONS: {'digit_sum_mod': {'mod': 5, 'remainder': 0}}
       DESC      : باقي القسمة 0 في مود 5 لمجموع الأرقام يشير للثور (Bias +5.7%)

  1722  compound_cycle_digit         🔵 Player     91%   83%     1  ❌
       CONDITIONS: {'digit': 7, 'cycle_position': {'cycle': 3, 'position': 2}}
       DESC      : تزامن الموضع 2 في دورة 3 مع الرقم 7 يضاعف احتمالية فوز الثور.

  1436  new_cycle_suit_digit         🔵 Player     91%   83%     0  ❌
       CONDITIONS: {'suit': '♦️', 'digit': 6, 'cycle_position': {'cycle': 8, 'position': 5}}
       DESC      : في الموضع الخامس من دورة طولها 8 والبذلة ♦️ وآخر رقم 6، يميل الثور للفوز

  1906  compound_gap_digit           🔵 Player     88%   83%     0  ❌
       CONDITIONS: {'b_gap_lt': 500, 'digit_sum_mod': {'mod': 6, 'remainder': 2}}
       DESC      : عندما تكون الفجوة صغيرة (<500) ومجموع الأرقام mod 6 = 2

  2028  digit_rank_mod_8             🔴 Banker     83%   83%     0  ❌
       CONDITIONS: {'digit_plus_rank_mod': {'mod': 8, 'remainder': 2}}
       DESC      : مجموع digit و rank mod 8 = 2 يعطي إشارة للراعي

  1812  compound_mod3_cycle          🔵 Player     83%   83%     0  ❌
       CONDITIONS: {'digit_sum_mod': {'mod': 3, 'remainder': 1}, 'cycle_position': {'cycle': 3, 'position': 0
       DESC      : باقي 1 في مود 3 مع بداية دورة 3 يفضل الثور.

  2025  bnum_tail_4_2                🔴 Banker     83%   83%     0  ❌
       CONDITIONS: {'digit': 4, 'b_gap_lt': 350}
       DESC      : الرقم 4 في الذيل مع فجوة صغيرة يسحب للراعي

  1919  cycle_3_dominance            🔵 Player     83%   83%     0  ❌
       CONDITIONS: {'cycle_position': {'cycle': 3, 'position': 2}}
       DESC      : في الدورة الثلاثية، الموقع 2 يهيمن عليه الثور (156 vs 136)

  1765  new_digit_rank_sum_mod4      🔵 Player     83%   83%     0  ❌
       CONDITIONS: {'digit_plus_rank_mod': {'mod': 4, 'remainder': 1}}
       DESC      : مجموع الرقم الأخير وقيمة الرتبة mod 4 = 1 يعطي إشارة للثور.

  2041  cycle_7_pos_3                🔵 Player     83%   83%     0  ❌
       CONDITIONS: {'cycle_position': {'cycle': 7, 'position': 3}}
       DESC      : في الدورة السباعية، الموقع 3 يهيمن عليه الثور (63 vs 62)

  1897  gap_velocity_ratio           🔵 Player     83%   83%     0  ❌
       CONDITIONS: {'b_gap_lt': 300, 'gap_sec_lt': 20}
       DESC      : قانون جديد: نسبة سرعة الفجوة المنخفضة تعزز الثور

  2039  digit_sum_mod_5_4            🔵 Player     83%   83%     0  ❌
       CONDITIONS: {'digit_sum_mod': {'mod': 5, 'remainder': 4}}
       DESC      : مجموع الأرقام mod 5 = 4 يظهر انحيازاً للثور

  2020  cycle_6_pos_1                🔵 Player     83%   83%     0  ❌
       CONDITIONS: {'cycle_position': {'cycle': 6, 'position': 1}}
       DESC      : في الدورة السداسية، الموقع 1 يهيمن عليه الثور (74 vs 73)

  1429  new_digit_plus_rank_mod      🔵 Player     83%   83%     0  ❌
       CONDITIONS: {'digit_plus_rank_mod': {'mod': 5, 'remainder': 3}}
       DESC      : عندما يكون (آخر رقم + قيمة الرتبة) mod 5 = 3، يميل الثور للفوز

  1954  bnum_tail_8                  🔵 Player     83%   83%     0  ❌
       CONDITIONS: {'digit': 8, 'b_gap_lt': 400}
       DESC      : الرقم 8 في الذيل مع فجوة صغيرة يعزز الثور

  2036  bnum_tail_0_2                🔵 Player     83%   83%     0  ❌
       CONDITIONS: {'digit': 0, 'b_gap_lt': 300}
       DESC      : الرقم 0 في الذيل مع فجوة صغيرة يعزز الثور

  1974  bnum_tail_1                  🔵 Player     83%   83%     0  ❌
       CONDITIONS: {'digit': 1, 'b_gap_lt': 300}
       DESC      : الرقم 1 في الذيل مع فجوة صغيرة يعزز الثور

  1830  cycle3_pos0_king             🔴 Banker     83%   83%     0  ❌
       CONDITIONS: {'rank': 'K', 'cycle_position': {'cycle': 3, 'position': 0}}
       DESC      : بداية دورة 3 مع الملك تميل للراعي.

